Permutation: (0, 1, 2, 3, 4) -> TKREU YASNI AOINT BDIGR IEGAN SRENT EORPU EDNWA EETRS NISAA
Permutation: (4, 0, 2, 3, 1) -> UTREK IYSNA TAINO RBIGD NIGAE TSENR UERPO AENWD SETRE ANSAI
Permutation: (4, 0, 3, 1, 2) -> UTEKR IYNAS TANOI RBGDI NIAEG TSNRE UEPOR AEWDN SERET ANAIS
Permutation: (4, 0, 3, 2, 1) -> UTERK IYNSA TANIO RBGID NIAGE TSNER UEPRO AEWND SERTE ANASI
Permutation: (4, 1, 0, 2, 3) -> UKTRE IAYSN TOAIN RDBIG NEIGA TRSEN UOERP ADENW SEETR AINSA
Permutation: (4, 1, 0, 3, 2) -> UKTER IAYNS TOANI RDBGI NEIAG TRSNE UOEPR ADEWN SEERT AINAS
Permutation: (4, 1, 2, 0, 3) -> UKRTE IASYN TOIAN RDIBG NEGIA TRESN UOREP ADNEW SETER AISNA
Permutation: (4, 1, 2, 3, 0) -> UKRET IASNY TOINA RDIGB NEGAI TRENS UORPE ADNWE SETRE AISAN
Permutation: (4, 1, 3, 0, 2) -> UKETR IANYS TONAI RDGBI NEAIG TRNSE UOPER ADWEN SERET AIANS
Permutation: (4, 1, 3, 2, 0) -> UKERT IANSY TONIA RDGIB NEAGI TRNES UOPRE ADWNE SERTE AIASN
Permutation: (4, 2, 0, 1, 3) -> URTKE ISYAN TIAON RIBDG NGIEA TESRN UREOP ANEDW STEER ASNIA
Permutation: (4, 2, 0, 3, 1) -> URTEK ISYNA TIANO RIBGD NGIAE TESNR UREPO ANEWD STERE ASNAI
Permutation: (4, 2, 1, 0, 3) -> URKTE ISAYN TIOAN RIDBG NGEIA TERSN UROEP ANDEW STEER ASINA
Permutation: (4, 2, 1, 3, 0) -> URKET ISANY TIONA RIDGB NGEAI TERNS UROPE ANDWE STERE ASIAN
Permutation: (4, 2, 3, 0, 1) -> URETK ISNYA TINAO RIGBD NGAIE TENSR URPEO ANWED STREE ASANI
Permutation: (4, 2, 3, 1, 0) -> UREKT ISNAY TINOA RIGDB NGAEI TENRS URPOE ANWDE STREE ASAIN
Permutation: (4, 3, 0, 1, 2) -> UETKR INYAS TNAOI RGBDI NAIEG TNSRE UPEOR AWEDN SREET AANIS
Permutation: (4, 3, 0, 2, 1) -> UETRK INYSA TNAIO RGBID NAIGE TNSER UPERO AWEND SRETE AANSI
Permutation: (4, 3, 1, 0, 2) -> UEKTR INAYS TNOAI RGDBI NAEIG TNRSE UPOER AWDEN SREET AAINS
Permutation: (4, 3, 1, 2, 0) -> UEKRT INASY TNOIA RGDIB NAEGI TNRES UPORE AWDNE SRETE AAISN
Permutation: (4, 3, 2, 0, 1) -> UERTK INSYA TNIAO RGIBD NAGIE TNESR UPREO AWNED SRTEE AASNI
Permutation: (4, 3, 2, 1, 0) -> UERKT INSAY TNIOA RGIDB NAGEI TNERS UPROE AWNDE SRTEE AASIN
